dataset,origin,target_date,day_offset,X,method,scenario,true_count,wasserstein_hour,wasserstein_duration,wasserstein_energy,crps_total_energy,crps_mean_duration,profile_rmse_kw,profile_nrmse,status,n_pool_sessions,n_pool_occurrences,fit_seconds,sample_seconds
office,2021-03-24,2021-03-26,2,4.0,persistence,13.0,4,2.1417,1.3076,9.8893,6.392360000000005,0.3930151234567923,2.3286775754078666,0.7288790877288992,ok,11.0,4.0,0.0010099790000595021,0.005747109200001432
office,2021-03-24,2021-03-26,2,4.0,persistence,14.0,4,1.2958,0.6508,5.684,6.392360000000005,0.3930151234567923,1.612627339148905,0.5047544392656693,ok,11.0,4.0,0.0010099790000595021,0.005747109200001432
office,2021-03-24,2021-03-26,2,4.0,vae_percell,0.0,4,1.5802,0.4601,6.4108,7.820357933423125,0.3423948075557841,2.4306273236522933,0.7607894905598165,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,1.0,4,1.77,0.4911,16.4188,7.820357933423125,0.3423948075557841,7.305163467423001,2.286525597221488,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,2.0,4,2.134,0.9538,6.9741,7.820357933423125,0.3423948075557841,2.6638138119384824,0.8337771624675403,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,3.0,4,1.3426,0.9069,7.417,7.820357933423125,0.3423948075557841,1.795300746661819,0.5619314516723876,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,4.0,4,2.4605,1.029,5.1469,7.820357933423125,0.3423948075557841,1.850974302687826,0.5793573465903443,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,5.0,4,1.604,3.1892,5.7472,7.820357933423125,0.3423948075557841,1.5949984340337935,0.49923656920342535,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,6.0,4,1.6538,1.2886,7.392,7.820357933423125,0.3423948075557841,2.9845442465951026,0.9341662026198531,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,7.0,4,1.5316,2.3498,7.9197,7.820357933423125,0.3423948075557841,2.6644750796318775,0.8339841401093557,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,8.0,4,1.5463,1.8399,2.9471,7.820357933423125,0.3423948075557841,1.5627025724445363,0.4891279228278216,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,9.0,4,2.3189,0.9129,7.2648,7.820357933423125,0.3423948075557841,2.98239447367545,0.9334933209203647,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,10.0,4,1.5324,1.2043,6.4941,7.820357933423125,0.3423948075557841,1.9303854114826149,0.604213126173204,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,11.0,4,1.9659,1.1877,7.2687,7.820357933423125,0.3423948075557841,3.0691468574057064,0.9606469290365685,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,12.0,4,1.9578,1.2976,8.5271,7.820357933423125,0.3423948075557841,4.636959178001278,1.4513742096330149,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,13.0,4,1.5794,0.7867,16.474,7.820357933423125,0.3423948075557841,6.0690082569755965,1.8996074203139708,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,4.0,vae_percell,14.0,4,2.2783,2.2094,5.1416,7.820357933423125,0.3423948075557841,2.2460692911761186,0.7030225881063011,ok,11.0,4.0,0.3004420879999543,0.007276749466662598
office,2021-03-24,2021-03-26,2,16.0,persistence,0.0,4,2.1833,2.2007,2.8188,4.7732088888888935,0.6241743827160511,2.503223391318056,0.7835121534701847,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,1.0,4,2.1292,1.8855,3.4175,4.7732088888888935,0.6241743827160511,1.294148611055475,0.40507018617488166,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,2.0,4,2.1667,1.4682,8.2317,4.7732088888888935,0.6241743827160511,2.7024699420025993,0.8458765810877107,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,3.0,4,1.5625,1.6692,5.682,4.7732088888888935,0.6241743827160511,1.6308192667418464,0.5104485360904093,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,4.0,4,1.9292,1.3196,5.1473,4.7732088888888935,0.6241743827160511,0.9874879312658998,0.3090849974618412,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,5.0,4,1.6542,1.2387,4.8397,4.7732088888888935,0.6241743827160511,2.632384319120782,0.8239396906360287,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,6.0,4,2.3917,2.2158,3.3018,4.7732088888888935,0.6241743827160511,1.62203104587396,0.5076978116120224,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,7.0,4,1.9792,0.6351,4.9912,4.7732088888888935,0.6241743827160511,1.586705627632589,0.4966409100927546,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,8.0,4,1.8208,1.5219,4.095,4.7732088888888935,0.6241743827160511,2.05491704828937,0.6431916892802911,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,9.0,4,1.5958,0.8485,4.5483,4.7732088888888935,0.6241743827160511,2.822196877005149,0.8833512663265852,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,10.0,4,2.4333,1.5054,4.3855,4.7732088888888935,0.6241743827160511,2.2031630028782945,0.6895928644714722,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,11.0,4,2.1708,2.3821,4.3403,4.7732088888888935,0.6241743827160511,1.999878445738567,0.625964535619881,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,12.0,4,1.8583,1.8012,4.1547,4.7732088888888935,0.6241743827160511,2.0438891725037123,0.6397399499209554,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,13.0,4,2.0292,1.3138,9.5128,4.7732088888888935,0.6241743827160511,3.3570808213793195,1.050770631520582,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,persistence,14.0,4,1.9458,1.6875,5.715,4.7732088888888935,0.6241743827160511,2.1103651701717956,0.660547023020242,ok,25.0,16.0,0.0009340939999447073,0.005678127000002557
office,2021-03-24,2021-03-26,2,16.0,vae_percell,0.0,4,1.683,1.0596,12.6176,12.351957575606512,0.9225708046532105,4.338475949667463,1.3579485737837829,ok,25.0,16.0,0.29588319999993473,0.007275670866662646
office,2021-03-24,2021-03-26,2,16.0,vae_percell,1.0,4,1.87,0.6525,15.5184,12.351957575606512,0.9225708046532105,6.607752277322332,2.0682349942712412,ok,25.0,16.0,0.29588319999993473,0.007275670866662646
office,2021-03-24,2021-03-26,2,16.0,vae_percell,2.0,4,1.5438,1.7284,6.6918,12.351957575606512,0.9225708046532105,1.8835161420962239,0.5895429843409286,ok,25.0,16.0,0.29588319999993473,0.007275670866662646
office,2021-03-24,2021-03-26,2,16.0,vae_percell,3.0,4,1.5906,2.4347,7.7151,12.351957575606512,0.9225708046532105,2.384131052548205,0.7462360976714911,ok,25.0,16.0,0.29588319999993473,0.007275670866662646
office,2021-03-24,2021-03-26,2,16.0,vae_percell,4.0,4,2.1626,2.2778,5.3724,12.351957575606512,0.9225708046532105,1.3628645972951425,0.42657837858919134,ok,25.0,16.0,0.29588319999993473,0.007275670866662646
